"Emotion","text"
"Surprise","አንድ አስገራሚ ነገር መስጠት እፈልጋለሁ"
"Surprise","ሁለቱም ልጆች ለእሱ እንዲህ ማድረጋቸው ምንም አያስደንቅም"
"Surprise","እሱም ከዓይኖቿ የሐዘን ፍንጭ በማግኘቱ ተገረመ"
"Surprise"," ከምግብ በፊት እጆቹን ባለመታጠቡ መገረሙን ገለጸ "
"Surprise","እሱ ድንገት ተገረመ "
"Surprise","ያቀረበውን ሀሳብ መቀበሉ ምንም አያስደንቅም "
"Surprise","የሚገርመው ያለምንም ችግር በሩን መክፈቷ ነው "
"Surprise","የደሃውን ታሪክ ሲሰማ በጣም ገረመው "
"Surprise","ለእሱ አስገራሚ ነገር ድመቷ ምንም ተቃውሞ አልሰጠችውም "
"Surprise"," በድርጊታቸው መደነቃቸውን ገልጸዋል"
"Surprise","የዱር እንስሳት ወደ ምድራችን መሄዳቸው ምንም አያስደንቅም ብዬ አስባለሁ "
"Surprise"," ከዲፕሎማሲያዊ ክበባት ውጭ ብዙም የሚታወቅ ባለመሆኑ ሹመቱ በወቅቱ ብዙ አስገራሚ ነገሮችን አስከትሏል"
"Surprise","እሱ ሰዎችን ማስደነቅ ይወዳል ፣ ስለዚህ እሱ ሚስጥሮች ሊኖሩት ይገባል ብዬ እገምታለሁ አይደል?"
"Surprise","ድንገተኛ እና ያልተጠበቀ ነበር"
"Surprise","በእነሱ ስም በተሰየመ ኮከብ ዘንድሮ ለምን አያስደንቋቸውም?"
"Surprise","እነሱ ፈገግ አላሉም  ፣ አንድም ፍርሃት ፣ ድንገተኛ ጉጉት ወይም ወዳጃዊነት አላሳዩም "
"Surprise","በተሰጠው ስጦታ በጣም ተገረመ"
"Surprise","እውነተኛው አስገራሚ ነገር በወሊድ ክፍል ውስጥ መገኘቱ ነው"
"Surprise","የሚገርመው ወደ መተላለፊያው ክፍል ገባ "
"Surprise","በጣም ያስገረማት ወደ ፖርታል መደወሉ ነው"
"Surprise","አስገራሚ ጉብኝቶች እና ምርመራዎች  አሉ"
"Surprise","በተፈጠረው ሁኔታ በጣም ደነገጡ"
"Surprise","በ 1809 በፈረንሳዮች በድንገት ተወሰደ "
"Surprise","ያዩት ነገር  በጣም ያስገርማል"
"Surprise","በድንገት መጥቶ አስደነገጣቸው"
"Surprise","ከነዚህ ግምቶች አንጻር አንድ ጥሩ የውሃ ጀት በፍጥነት መበተኑ አያስደንቅም"
"Surprise","በሐዋርያት ሥራ ትረካ ውስጥ እሱን የሚያስደንቀው ብዙ ነገር አግኝቷል "
"Surprise","ከዲፕሎማሲያዊ ክበብ ውጭ ብዙም ስለማይታወቅ ሹመቱ በወቅቱ ብዙ አስገራሚ ነገሮችን አስከትሏል "
"Surprise","እኔ በጣም ብልህ ነኝ አንዳንዴ እራሴን አስገርማለሁ "
"Surprise","በመገረም አፍጥጦ አያት "
"Surprise","ድንገተኛ እንዲሆን እፈልጋለሁ "
"Surprise","ግልፅ በሆነ ድንገተኛ ጉንጮቹን ከፍ አደረገ "
"Surprise","እሷም በመገረም ጠየቀች "
"Surprise","በጣም በመገረሙ ወደ እሱ ተጠጋች "
"Surprise","የእኛ ወረራ ጠላቱን በድንገት አስገረመው ፡፡"
"Surprise","የገረመኝ ነገር ዕቅዱ ተሳካ ፡፡"
"Surprise","እዚህ እርስዎን ማየቱ ምን ያስደንቃል "
"Surprise","በመገረም ለአፍታ ፀጥ አለ "
"Surprise","ሚሳኤሎችን በመገረም ለማየት ተቃረበች "
"Surprise","በመገረም ቀና ብላ ተመለከተችው "
"Surprise","እሷ ድንገት ቀና ብላ አየችው "
"Surprise","በትንሽ የግርምት ጩኸት ዘለለች ፡፡"
"Surprise","እኔ ለእናንተ አንድ አስገራሚ ነገር አለኝ "
"Surprise","ሽማግሌው በክረምት ለእነሱ አስገራሚ ነገር ነገራቸው "
"Surprise","ያ ምንም አያስደንቅም ነበር "
"Surprise","በጋጣ ውስጥ ለእርስዎ አንድ አስገራሚ ነገር አለኝ "
"Surprise","እሱ በድንገት ያዛት እና በጨረፍታ አየችው "
"Surprise","አገላለፁን የመረበሽ እና የመገረም ድብልቅ አደረገ "
"Surprise","ስለ ጉዲፈቻ ወደ እርሷ ሲቀርብ ምንም አያስገርምም "
"Surprise","አዕምሮዋ በጣም ካልተበተነ እሷ የጠበቀችውን አስገራሚ ነገር አለመግለጹ ያልተለመደ ይመስላታል"
"Surprise","እሱ አንድ እርምጃ ወደኋላ ወሰደ እና ከዚያ በኋላ በዝምታ በመደነቅ እሷን ተመለከተ"
"Surprise","ብዙ ሰዎች በድንገት ሊወስዱኝ አይችሉም "
"Surprise","በግርምት ልታለቅስ ወደቀች ለመሄድ ዞረች "
"Surprise","ሙሉ ለሙሉ አስገራሚ ሆኖ ተገኘ ፡፡"
"Surprise","እሱ አስገራሚ ነገር ነው ፡፡"
"Surprise","መደነቅ ፊቷ ላይ ታይቷል"
"Surprise","እሷ በመገረም ሳቀች "
"Surprise","ከመጀመሪያው አስገራሚ ነገር በኋላ ቦታውን ወደድኩት ፡፡"
"Surprise","እሷም በመገረም አፈጠጠች "
"Surprise","የምርጫው ውጤት ለአብዛኛው ህብረተሰብ ፍጹም አስገራሚ ሆኗል "
"Surprise","አህጉራዊ የቁርስ ቡፌ አስገራሚ ነበር"
"Surprise","የትዕይንት መጨረሻ እውነተኛ አስገራሚ ነገር ነው"
"Surprise","ዕድሜው ምን ያህል እንደሆነ ሲነግሯቸው ሁሉም ሰው  እንደሚደንቅ  አታውቁም"
"Surprise","እሱ ለአስተማሪው መልስ ሲሰጥ ሁሉም ተገረመ "
"Surprise","አይንህን ጨፍን አንድ አስገራሚ ነገር አለኝ"
"Surprise","ውስብስብ ስርዓቶችን በተመለከተ ንዑስ ስርዓቶች መኖራቸው አያስደንቅም "
"Surprise","ለአርታኢው የተሰጠው ነገር ማሰብ አልችልም ፣ ትንሽ የሚያስደንቅ ነው "
"Surprise","ነፋሱ ሲነፍስ በሁሉም ሰው ሩጫ ላይ አስገራሚ ነገርን አክሏል "
"Surprise","ፕሬዚዳንቱን እንኳን አስገርሟል "
"Surprise","እኔ ብቻ ሳልሆን ሁሉም ሰው በድንገት ተመለከተ"
"Surprise","ልጁ ባልተጠበቀ ሁኔታ ውስጥ ነበር "
"Surprise","ፖሊሱ መስኮቱን ሲከፍት ዘራፊውን በድንገት ያዘው"
"Surprise","እንዲህ ባለ ተላላፊ በሽታ መያዙ አጠቃላይ አስገራሚ ነበር "
"Surprise","የውሳኔው ጊዜ አስገራሚ ነበር ፡፡"
"Surprise","እዚህ እርስዎን ማግኘቱ ያስደንቃል!"
"Surprise","ሁሉም ልጆች በአንድ አስማተኛ የተዝናኑ ሲሆን የገና አባት ስጦታዎችን ለማበርከት አስገራሚ እንግዳ አመጡ "
"Surprise","የስራ እድገት ማግኘቷ ሁሉንም አስገረመ"
"Surprise","የመኪና ኢንሹራንስ ያለ ምንም ችግር አስገራሚ ሽፋን  አደረጉ"
"Surprise","ሁሉም ሰው የገረመው ልጅቷ ሳትታጀብ ወደ አዳራሹ መምጣቷ ነው ፡፡"
"Surprise","ምንባቡ በጣም አስገርሞናል "
"Surprise","እሱ ገና ሁሉንም ሊያስደንቀን ይችላል።"
"Surprise","ይህ ምንም አያስደንቅም ነበር "
"Surprise","እሱ ጮክ ብሎ በመገረም ተናገረ"
"Surprise","አንድ አስገራሚ ነገር ተናገረ"
"Surprise","ድንገተኛ ብልሽት ተፈጠረ "
"Surprise","ወደ ድሮው ክምችት ሲመለስ ድንገተኛ ነገር ይጠብቀዋል "
"Surprise","አስገራሚ ትዕይንቶች እየቀረቡ ነው"
"Surprise","አስገራሚ እንግዶች መጡ"
"Surprise","ያልተጠበቀ ድንገተኛ.አደጋ ተፈጠረ"
"Surprise","ሴትዮዋን በጣም በመገረም አለቀሰች ፡፡"
"Surprise","በእንደዚህ ዓይነት አስገራሚ ሁኔታ ውስጥ አለፈ"
"Surprise"," በድንገት ወሰዳት"
"Surprise","ወንድሟን በመገረም ተመለከተች ፡፡"
"Surprise","በሚገርም ሁኔታ አየናት ፡፡"
"Surprise","በመገረም ተመለከተው ፡፡"
"Surprise","በተሳካ ሁኔታ መስተካከሉ አስገራሚ ነበር ፡፡"
"Surprise","በሚገርም አለባበስ ታየ ፡፡"
"Surprise","እኔ እንደማስበው ይህ ለብዙ ሰዎች ደስ የማይል አስገራሚ ነገር ነው ፡፡"
"Surprise","ብዙ ሰዎች  የት እንደሚገዙ ማሰቡ አያስገርምም ፡፡"
